================================================================================
IBKR 10-Year 5-Minute Bar Data Downloader
================================================================================
Symbols:    SPY, QQQ, AAPL, NVDA, MSFT, SMCI, IWM, HYG, LQD, TLT, GLD
Date range: 2016-01-01 to 2026-02-25
Port:       4002
Client ID:  55
Sleep:      11.0s between requests
Resume:     True
Cache dir:  /Users/mahimnpatel/Documents/Dev/randomThings/data/cache
Manifest:   /Users/mahimnpatel/Documents/Dev/randomThings/data/download_manifest.json

Download plan: 5830 chunks remaining out of 5830 total
Estimated time: 17h 48m 50s

  [120/5830] IWM chunk 11/530 | 2970 bars | ETA: 17h 41m 36s
  [121/5830] HYG chunk 11/530 | 2970 bars | ETA: 17h 41m 25s
  [122/5830] LQD chunk 11/530 | 2970 bars | ETA: 17h 41m 14s
  [123/5830] TLT chunk 11/530 | 2970 bars | ETA: 17h 41m 04s
  [124/5830] GLD chunk 11/530 | 2970 bars | ETA: 17h 40m 53s
  [125/5830] SPY chunk 13/530 | 3318 bars | ETA: 17h 40m 41s
  [126/5830] QQQ chunk 13/530 | 3318 bars | ETA: 17h 40m 28s
  [127/5830] AAPL chunk 13/530 | 3318 bars | ETA: 17h 40m 16s
  [128/5830] NVDA chunk 12/530 | 3300 bars | ETA: 17h 40m 04s
  [129/5830] MSFT chunk 12/530 | 3300 bars | ETA: 17h 39m 52s
  [130/5830] SMCI chunk 12/530 | 3300 bars | ETA: 17h 39m 42s
  [131/5830] IWM chunk 12/530 | 3300 bars | ETA: 17h 39m 29s
  [132/5830] HYG chunk 12/530 | 3300 bars | ETA: 17h 39m 17s
  [133/5830] LQD chunk 12/530 | 3300 bars | ETA: 17h 39m 06s
  [134/5830] TLT chunk 12/530 | 3300 bars | ETA: 17h 38m 57s
  [135/5830] GLD chunk 12/530 | 3300 bars | ETA: 17h 38m 47s
  [136/5830] SPY chunk 14/530 | 3534 bars | ETA: 17h 38m 35s
  [137/5830] QQQ chunk 14/530 | 3534 bars | ETA: 17h 38m 28s
  [138/5830] AAPL chunk 14/530 | 3534 bars | ETA: 17h 38m 16s
  [139/5830] NVDA chunk 13/530 | 3630 bars | ETA: 17h 38m 04s
  [140/5830] MSFT chunk 13/530 | 3630 bars | ETA: 17h 37m 52s
  [141/5830] SMCI chunk 13/530 | 3630 bars | ETA: 17h 37m 40s
  [142/5830] IWM chunk 13/530 | 3630 bars | ETA: 17h 37m 27s
